time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.0565574225005,-0.0511263849678,1.99204536076,6.21963240561,0.0213329796906,0.0,-0.160940081223,-0.233252007982,2.92058525763,-0.0964424373329,-0.0103736964276,0.0,450.257053278,449.925203868,449.71452957,450.11817976
1.3800000000000008,-0.0666624988208,-0.0664857875783,2.17070541157,6.21402759112,0.0205708582913,0.0,-0.175818250688,-0.279300776138,3.03440826221,-0.0879596845042,-0.0178207253,0.0,450.115232929,449.512272845,449.687306332,450.366629573
1.4400000000000008,-0.0776412523185,-0.084719977831,2.35612222649,6.20879810252,0.0194351613025,0.0,-0.190020117324,-0.329029186012,3.14580505284,-0.0856024404012,-0.0212406954933,0.0,449.857540003,449.580575647,449.966449838,450.151054349
1.5000000000000009,-0.089446068618,-0.10604164463,2.54813854755,6.20365108935,0.018085275319,0.0,-0.203332782914,-0.382201358261,3.25438522845,-0.086148014452,-0.0251392881936,0.0,449.781782187,449.465902626,449.90113401,449.850994596
1.560000000000001,-0.102019537653,-0.130657115638,2.74660449783,6.1985005742,0.0164536443388,0.0,-0.215616294079,-0.438821189804,3.36078384674,-0.085237052411,-0.0316562449765,0.0,449.846426361,449.318212002,450.029452172,450.09721526
1.620000000000001,-0.115293705386,-0.158772882805,2.95139237135,6.19326149696,0.014468585243,0.0,-0.226651869185,-0.498876054792,3.46510734373,-0.0918400701353,-0.0361047792059,0.0,449.946255199,449.585537822,450.396988913,449.856384282
1.680000000000001,-0.129187063003,-0.190598509803,3.16238218029,6.18766581128,0.0121814904872,0.0,-0.236228049823,-0.562518595734,3.56750199806,-0.0962651434041,-0.0424831608075,0.0,450.290495034,449.773499649,450.426335121,450.061070676
1.740000000000001,-0.143605207509,-0.226352890699,3.37942791994,6.18180243458,0.00947555849597,0.0,-0.244105732355,-0.629857672649,3.66696263481,-0.100808185942,-0.0509219820912,0.0,450.204288128,449.519768744,450.410529475,450.034881484
1.8000000000000012,-0.158437517141,-0.266262754928,3.6023547118,6.17572510778,0.00622151219704,0.0,-0.24998224485,-0.701055435769,3.76352785618,-0.102266913402,-0.0618508200002,0.0,450.208638946,449.321498221,450.254219372,450.127446885
1.8600000000000012,-0.173552618243,-0.310563936737,3.83100163946,6.16969977474,0.00238091212142,0.0,-0.253470607076,-0.776232639729,3.85762545299,-0.0969695126251,-0.0687193103664,0.0,450.155345056,449.59620557,450.042698469,450.462720102
